SubjectID,ImageNumber,BlockNumber,GridNumber,TrialNumberEnc1,TrialNumberEncRec1,TrialNumberEnc2,TrialNumberEncRec2,TrialNumberEnc3,TrialNumberEncRec3,TrialNumberEnc4,TrialNumberEncRec4,RespTimeBlank1,RespTimeImg1,RespTimeBlank2,RespTimeImg2,RespTimeBlank3,RespTimeImg3,RespTimeBlank4,RespTimeImg4
100,53,2,1,13,9,2,7,28,26,8,6,0.0634111657846006,9.06533253601901,2.55671854570301,2.68596015866478,2.2957734563488,1.12026384553883,2.19922169682013,0.412806601226293
100,55,2,13,14,6,15,12,32,29,7,9,18.2121097405397,4.41882132097999,2.781598293358,1.33637674367765,3.00446476577599,1.31840877346531,2.08830990087699,0.526505602912039
100,54,2,9,15,10,7,15,27,25,3,7,48.3400563762534,5.90345565351254,22.5753564126871,1.91847100809991,3.3706028821307,1.6095403598656,3.5810085281646,0.474117595916141
100,44,2,5,16,14,6,9,18,31,6,5,14.5243233601477,5.50739800658448,3.95308310524069,1.97928460161802,2.05180287924668,1.27743999525683,3.58736792068066,0.502487281925823
100,45,1,5,17,24,24,28,36,33,33,35,29.4485161627836,2.97375147835646,4.90144287416297,1.72693275610163,3.82799374080332,0.766846606879881,2.54881380119241,0.802193773488398
100,46,1,12,18,18,19,26,44,42,41,39,6.46705008246136,4.03960420833027,3.12669513926448,1.45701732646376,8.73252921178755,0.800487090126808,7.98384593123501,0.701369956596864
100,38,1,6,19,22,28,27,34,36,34,36,3.02224414455122,2.98856164978133,1.9789627896771,1.20426520524506,10.9770465511829,0.89969210470008,1.53368030058664,0.58248504070707
100,37,1,11,20,20,23,30,42,47,43,47,3.98962943154129,2.67349662083234,2.59388601724731,0.928254290103723,2.69650011070189,0.990660560926699,1.40849290762981,0.556706969713559
100,3,1,2,21,30,26,19,47,34,39,34,4.24935030980032,4.73438328478915,2.77844419779649,1.81221746021401,2.60879500423835,0.598034446541533,2.81579655755104,0.592341188418686
100,51,1,1,22,28,25,20,40,38,35,46,3.76657223855364,3.16624044200125,1.96823217622023,0.964322256822925,1.70663622938901,0.700596988293,2.88347070483633,0.683245381894267
